FID,Cause_of_Death,Latitude,Longitude,PointType,Slope,Elevation,Aspect,Rough,RelCont9am,RelCont2pm,RelCont6pm,DirecDurat,DiffuseRad,DirectRad,TotalSolar,MSAVI2,TotAveArid
154,,31.38807767,-109.8140568,RandomLocation,21.16489983,1512.959961,132.9219971,11.31770039,0.202971662,0,0,13.12100029,1678.030029,3703.280029,5381.310059,-0.16438796,0.195424005
156,Skeletal Remains,31.389361,-111.230389,BodyLocation,15.25450039,1159.27002,239.4649963,7.59070015,0,0.092293497,0.166352233,11.05440044,1474.420044,2943.27002,4417.689941,-0.093351306,0.252121001
158,Exposure,31.38989,-110.10595,BodyLocation,3.258670092,1280.22998,119.6729965,1.599850059,0.205409921,0,0,14.10849953,2117.439941,5917.080078,8034.529785,0.053739964,0.203264996
160,Skeletal Remains,31.39042,-111.078454,BodyLocation,19.46590042,1240.880005,99.42489624,8.876219749,0.206358412,0,0,14.10849953,2071.52002,5886.209961,7957.720215,0.052814486,0.241529003
162,,31.39134364,-110.4085641,RandomLocation,2.657979965,1734.72998,98.57430267,1.090450048,0.206442238,0,0,12.57380009,1450.439941,5687.069824,7137.52002,0.242003798,0.248483002
164,Skeletal Remains,31.39289,-111.00497,BodyLocation,7.429950237,1190.569946,194.7039948,6.747799873,0,0.188094157,0.066808737,14.10849953,2074.52002,1191.969971,3266.48999,-0.013028763,0.238694996
166,Exposure,31.3944,-110.5137,BodyLocation,0.68927598,1578.310059,237.4160004,0.338744998,0,0.094367428,0.165633637,2.444439888,1286.619995,720.34198,2006.969971,-0.021503719,0.220388994
168,,31.39576065,-111.0567813,RandomLocation,14.45339966,1203.819946,204.8209991,6.566410065,0,0.171872274,0.105399288,14.10849953,2115.959961,5494.390137,7610.339844,0.02658042,0.241529003
170,,31.39636817,-110.0083636,RandomLocation,2.287780046,1425.859985,190.4140015,0.941039979,0,0.228531052,0,2.944439888,1736.560059,627.8339844,2364.399902,-0.068950614,0.226407006
172,Exposure,31.396944,-109.431111,BodyLocation,10.68459988,1590.26001,353.5020142,4.456299782,0,0,0.168880176,11.8835001,1964.579956,2339.300049,4303.870117,-0.159504968,0.287537992
174,Exposure,31.398367,-110.07505,BodyLocation,1.99616003,1321.300049,224.727005,0.933350027,0,0.116373291,0.157027053,13.73349953,1976.329956,4616.339844,6592.669922,-0.106076522,0.215687007
176,Drowning,31.398749,-110.95464,BodyLocation,1.012300014,1104.439941,349.7829895,0.406006008,0,0,0.158447099,14.10849953,2061.350098,2477.580078,4538.919922,-0.006269469,0.226178005
178,,31.39924093,-110.8042839,RandomLocation,13.19740009,1301.609985,142.973999,6.656129837,0.198460763,0,0,13.57380009,1770.72998,3504.97998,5275.709961,-0.143373182,0.241586998
180,Skeletal Remains,31.39972,-111.01194,BodyLocation,24.36910057,1217.140015,331.8869934,12.15989971,0,0.01833607,0.186462276,14.10849953,2108.580078,3562.399902,5670.990234,0.067432761,0.238694996
182,Skeletal Remains,31.4,-109.136767,BodyLocation,0.663369,1292.75,286.4920044,0.364502013,0,0.18309976,0.078609236,14.10849953,2107.02002,5067.709961,7174.72998,0.101044478,0.202859998
184,,31.40055569,-109.3986362,RandomLocation,6.719349861,1378.77002,271.2950134,2.64586997,0,0.061240462,0.176488893,14.10849953,1973.680054,6131.740234,8105.419922,-0.038904616,0.222269997
186,,31.40150759,-109.1685309,RandomLocation,11.40499973,1267.73999,283.5289917,4.977660179,0,0.058081076,0.177522018,13.56680012,1930.51001,6041.689941,7972.200195,-0.00687269,0.202933997
188,Exposure,31.40201,-110.76178,BodyLocation,15.16919994,1507.719971,117.3059998,7.607910156,0.205488715,0,0,13.99040031,1950.069946,4236.220215,6186.290039,0.268806562,0.281094998
190,Exposure,31.40265,-111.01808,BodyLocation,12.88309956,1244.630005,111.0630035,5.867070198,0.205832113,0,0,13.12100029,1828.920044,4725.689941,6554.600098,-0.014336181,0.238694996
192,,31.40479312,-111.2084686,RandomLocation,18.87540054,1338.300049,109.4929962,9.100460052,0.205932905,0,0,13.88630009,2071.51001,5831.149902,7902.660156,-0.049782248,0.252121001
194,,31.40523947,-110.4597829,RandomLocation,17.50499916,1650.719971,268.3129883,7.674439907,0,0.067359705,0.174493322,14.10849953,2117.129883,5925.069824,8042.200195,-0.211774891,0.300846994
196,,31.40604731,-110.7483388,RandomLocation,19.72450066,1755.069946,275.3500061,8.403559685,0,0.067557712,0.174428889,3.722219944,886.2030029,2254.75,3140.959961,0.061690774,0.289552987
198,,31.40672174,-111.0990257,RandomLocation,5.588319778,1247.310059,147.7539978,2.739989996,0.194832202,0,0,14.10849953,2084.139893,1255.939941,3340.080078,-0.006779505,0.249697998
200,,31.4072698,-110.0808219,RandomLocation,1.215540051,1319.069946,271.5039978,0.460204989,0,0.065734967,0.175007293,13.73349953,1929,5969.459961,7898.459961,0,0.203264996
202,Undetermined,31.408071,-110.694289,BodyLocation,2.793469906,1691.73999,353.9869995,1.888790011,0,0,0.170760015,11.52099991,977.1339722,3760.090088,4737.22998,0.673906045,0.301432997
204,Blunt Force Injury,31.408544,-110.962032,BodyLocation,1.36263001,1100.339966,22.06970024,1.135740042,0.169914956,0,0,14.10849953,2035.130005,5250.399902,7285.540039,-0.765269383,0.226178005
206,,31.41150929,-110.1192293,RandomLocation,0.512175977,1294.199951,110.848999,0.236450002,0.205812904,0,0,14.10849953,2088,4838.560059,6926.560059,-0.024893694,0.203264996
208,,31.41175833,-109.3162555,RandomLocation,7.542220116,1263.22998,95.26599884,2.965090036,0.206591244,0,0,12.4460001,1339.650024,5434.009766,6773.660156,-0.279388301,0.206288993
210,Exposure,31.41271,-110.96989,BodyLocation,15.65019989,1123.089966,47.51029968,7.722290039,0.208321405,0,0,14.10849953,2113.310059,5810.379883,7923.689941,-0.0487722,0.226178005
212,,31.41363681,-110.0156741,RandomLocation,0.75100702,1432.339966,261.1849976,0.343383998,0,0.072275854,0.17286068,1.722219944,579.8530273,586.9719849,1166.819946,-0.012861204,0.226407006
214,,31.41440552,-110.4934442,RandomLocation,1.900580049,1614.109985,323.4039917,0.951538026,0,0.027909708,0.184956284,0.325397015,0.294364989,16.23069954,16.52510071,-0.058595482,0.284054995
216,Exposure,31.4164,-111.19605,BodyLocation,9.973290443,1185.73999,263.7070007,6.415770054,0,0.069317904,0.173853093,14.10849953,2059.939941,5933.279785,7993.220215,-0.035394535,0.301932007
218,Exposure,31.41783,-110.962654,BodyLocation,5.407279968,1093.800049,96.49320221,2.582149982,0.206491107,0,0,14.10849953,2111.199951,5606.029785,7717.22998,0.51117937,0.226178005
220,Undetermined,31.418333,-110.956833,BodyLocation,0.468629003,1080.98999,343.855011,0.214111,0,0,0.184980171,14.10849953,2034.449951,2407.26001,4441.709961,0.051455459,0.226178005
222,Exposure,31.418889,-110.938056,BodyLocation,5.83288002,1138.75,342.4559937,3.091429949,0,0.039868742,0.183096091,14.10849953,2092.889893,3858.860107,5951.75,0.143639389,0.235584006
224,Undetermined,31.419383,-111.039895,BodyLocation,2.962049961,1198.219971,350.868988,1.577389956,0,0,0.181647475,14.10849953,2103.72998,2759.629883,4863.359863,0.027877272,0.241529003
226,Exposure,31.419867,-111.014974,BodyLocation,4.404540062,1129.670044,171.9859924,2.30663991,0.145728966,0.040932818,0,14.10849953,1968.5,3960.72998,5929.22998,-0.05601362,0.238694996
228,Exposure,31.421389,-111.008056,BodyLocation,22.58939934,1163.069946,313.894989,13.3501997,0,0.042221068,0.182700609,14.10849953,2026.439941,6021.720215,8048.160156,-0.023344183,0.234460995
230,,31.42225629,-111.3242418,RandomLocation,14.79329967,1203.540039,42.30780029,7.440670013,0.207562087,0,0,14.10849953,2056.560059,5372.600098,7429.160156,0.091667198,0.284577996
232,Exposure,31.4229,-111.05418,BodyLocation,10.36909962,1159.670044,297.3989868,5.228640079,0,0.04992581,0.180184355,14.10849953,2101.939941,5710.899902,7812.839844,-0.031124635,0.236168995
234,,31.42434162,-110.3971153,RandomLocation,17.65029907,1876.390015,244.9259949,8.679080009,0,0.086030354,0.168397445,2.23526001,932.2189941,885.6329956,1817.849976,-0.061657262,0.392349988
236,Skeletal Remains,31.424833,-110.826,BodyLocation,12.67090034,1254.219971,321.2260132,6.416500092,0,0.029994678,0.184639505,13.39420033,2003.280029,4594.620117,6597.899902,-0.08624534,0.249553993
238,Skeletal Remains,31.426384,-111.059644,BodyLocation,5.445759773,1109.410034,157.5010071,3.944819927,0.192017771,0,0,14.10849953,2116.969971,1962.310059,4079.290039,-0.012383426,0.236168995
240,Exposure,31.426696,-111.313108,BodyLocation,1.33465004,1249.780029,37.47600174,1.587520003,0.205435937,0,0,2.866070032,418.8619995,322.8139954,741.6760254,0.677118695,0.284577996
242,Blunt Force Injury,31.428237,-109.892582,BodyLocation,1.732270002,1543.030029,15.09230042,0.798218012,0.135468193,0,0.003358674,14.10849953,1963.890015,4829.589844,6793.47998,-0.028877856,0.229384005
244,Exposure,31.428319,-109.892343,BodyLocation,1.714329958,1543,7.716909885,0.753174007,0.084875378,0,0.070462841,14.10849953,2055.070068,2456.97998,4512.049805,-0.136900722,0.265204012
246,Exposure,31.43018,-110.97481,BodyLocation,6.966790199,1097.660034,324.4259949,3.215579987,0,0.024328112,0.185523588,14.10849953,2108.790039,3562.02002,5670.810059,0.113805458,0.231095999
248,Heart Disease,31.430338,-110.653683,BodyLocation,0.955051005,1558.050049,68.72070313,0.434325993,0.207744413,0,0,14.10849953,2006.449951,6153.830078,8160.279785,0,0.364564002
250,,31.43074803,-110.4404332,RandomLocation,10.42679977,1664.589966,3.132420063,3.978270054,0.041734262,0,0.11807024,14.10849953,2009.670044,2363.209961,4372.870117,0.532942856,0.234836996
252,,31.43291065,-109.1934949,RandomLocation,0.837046981,1274.040039,282.1369934,0.343261987,0,0.059374826,0.177076132,0.325397015,25.15329933,76.42980194,101.5830002,-0.096853354,0.212231994
254,,31.433385,-110.960262,BodyLocation,9.561499596,1079.849976,238.9880066,4.481080055,0,0.093405947,0.165987781,14.10849953,2036.390015,3330.969971,5367.370117,0.049802823,0.231095999
256,,31.43488339,-110.0360335,RandomLocation,1.512420058,1414.530029,246.5650024,0.699950993,0,0.083873256,0.169086066,1.803570032,965.4359741,425.8059998,1391.23999,0.180248766,0.238196999
258,Exposure,31.436999,-111.363318,BodyLocation,4.917809963,1139.969971,198.3339996,2.296999931,0,0.20169798,0.034442212,14.10849953,2115.919922,1744.310059,3860.22998,0.612287548,0.242385998
260,,31.43750951,-111.0368132,RandomLocation,11.42800045,1158.109985,155.8939972,4.954100132,0.187169214,0,0,14.10849953,2110.48999,2300.330078,4410.819824,0.477202892,0.234460995
262,Exposure,31.43798,-111.33628,BodyLocation,5.745880127,1195.219971,168.7359924,3.039060116,0.181832757,0,0,14.10849953,1987.969971,6142.009766,8129.97998,0.191055591,0.242385998
264,,31.4382452,-109.6795672,RandomLocation,0.148976997,1224.930054,38.32260132,0.101074003,0.207142095,0,0,14.10849953,1988.920044,5006.779785,6995.700195,-0.046640888,0.180613995
266,Exposure,31.4394,-111.2489,BodyLocation,7.770289898,1241.780029,53.38029861,3.53173995,0.208749916,0,0,14.10849953,2013.26001,6045.470215,8058.72998,-0.18352092,0.309478998
268,,31.43964182,-109.5203713,RandomLocation,0.457415998,1293.910034,264.7609863,0.191039994,0,0.080731759,0.170066611,1.803570032,798.1300049,390.4460144,1188.579956,-0.014980433,0.203483999
270,Undetermined,31.4426,-111.2589,BodyLocation,3.974479914,1271.459961,168.7089996,3.002929926,0.111280924,0.075710329,0,13.85849953,1979.930054,1015.98999,2995.909912,0.063366585,0.309478998
272,,31.44440032,-111.0476712,RandomLocation,7.159540176,1109.439941,77.26989746,3.478029966,0.207189714,0,0,14.10849953,1998.709961,6148.089844,8146.790039,0.130642844,0.236168995
274,,31.44489708,-109.1870889,RandomLocation,9.908240318,1308.969971,264.1650085,4.013060093,0,0.070805897,0.173367185,14.10849953,2037.150024,5997.990234,8035.140137,0.317625047,0.212231994
276,,31.4459491,-110.8741523,RandomLocation,5.244939804,1183.52002,299.118988,2.887700081,0,0.048942142,0.180503268,14.10849953,2107.560059,6049.180176,8156.740234,0.293809981,0.232216999
278,Skeletal Remains,31.447194,-110.106028,BodyLocation,1.635040045,1264.02002,359.5350037,1.546749949,0,0.222334365,0,14.10849953,2117.469971,5319.029785,7436.509766,-2.508925726,0.195407003
280,Skeletal Remains,31.44765,-111.30885,BodyLocation,18.74710083,1342.650024,230.6130066,9.598629951,0,0.105176844,0.162146115,11.10849953,1158.640015,2811.76001,3970.399902,-0.008298469,0.284577996
